no;lat;lon;light
734;525539;13292;3
2600;524526;136292;3
3587;523229;13031;4
3588;523229;130308;3
3589;523227;130314;1
3590;523227;13031;2
3728;52472;133884;3
3744;525548;134226;5
3791;524802;136019;5
4066;526404;135354;5
4075;526404;135354;5
4214;523227;134362;5
4344;524185;137427;3
4359;525355;134246;1
4360;524526;136298;4
4368;525318;133378;3
4371;524555;133092;4
4439;52513;134599;4
4742;525149;134285;4
4751;525251;133451;4
4753;525188;13354;4
4760;525163;134137;2
4767;525126;133743;4
4782;525335;134179;3
4926;526465;135484;4
4927;526465;135484;5
4928;526465;135485;6
4993;524079;132287;4
5040;524608;133086;4
5043;524936;134313;2
5054;524911;134822;3
5059;524496;132976;2
5077;523624;134164;4
5080;525255;133466;3
5082;525356;133483;3
5083;525187;133481;4
5084;525124;133602;4
5086;525054;133686;4
5087;525046;13371;4
5088;525002;133714;3
5089;524981;133683;3
5090;524933;13376;4
5091;524889;133785;4
5092;524798;133751;4
5093;524726;133863;3
5094;524628;133846;4
5095;524538;133829;4
5096;524432;133884;3
5097;524388;133928;3
5157;524801;136019;5
6297;525106;134645;2
8174;525319;133383;3
8517;525319;133377;4
8518;525319;133377;4
8891;523945;131062;4
8897;525141;134173;6
8899;525141;134173;6
9021;523654;134098;5
9050;524898;136194;3
10476;524554;133092;4
10477;524555;133091;5
10478;524555;133091;4
10483;525316;133376;4
10484;525316;133376;4
10551;524855;137121;6
10599;525122;133664;4
10606;525122;133664;4
10792;523862;130383;2
11378;525323;13338;4
11380;525323;13338;4
11427;524984;134318;4
11429;524984;134318;3
11430;525028;134157;4
11431;525028;134157;3
12241;525425;134202;3
12603;524636;135718;5